badge_id,name,issuer,description,criteria,alignment,employmentOutcome,skillsValidated,competency,learningOpportunity,related_badges
B00001,UI/UX Designer,Coursera,UI/UX Designer badge issued by Coursera,Passing all module assessments,Industry Standard Alignment,Eligible for Data Analyst roles,"['Machine Learning', 'Cloud Computing', 'Python']",['Cybersecurity'],AI Professional Course,['B04078']
B00002,Cloud Computing Guru,edX,Cloud Computing Guru badge issued by edX,Passing all module assessments,Academic Alignment,Eligible for Cloud Architect positions,"['Deep Learning', 'Python']","['Leadership', 'Creativity', 'SQL']",AI Professional Course,[]
B00003,Cloud Computing Guru,Google,Cloud Computing Guru badge issued by Google,Completion of hands-on project and final evaluation,Professional Alignment,Eligible for Machine Learning Engineer positions,"['DevOps', 'UI/UX', 'Data Analysis']",['DevOps'],Big Data Analysis Program,[]
B00004,Data Science Expert,Udacity,Data Science Expert badge issued by Udacity,Completion of 40 hours of lectures and project submission,Academic Alignment,Eligible for Cloud Architect positions,"['Deep Learning', 'Cybersecurity', 'UI/UX']","['Deep Learning', 'Creativity']",Cloud Computing Course,[]
B00005,Data Science Expert,Udacity,Data Science Expert badge issued by Udacity,Completion of hands-on project and final evaluation,Academic Alignment,Eligible for Data Analyst roles,"['Machine Learning', 'Cloud Computing', 'SQL']","['DevOps', 'Machine Learning']",Intro to Machine Learning,[]
B00006,Machine Learning Pro,Udacity,Machine Learning Pro badge issued by Udacity,Completion of 40 hours of lectures and project submission,Academic Alignment,Eligible for Cloud Architect positions,"['UI/UX', 'Deep Learning', 'Machine Learning']","['Leadership', 'Python', 'Creativity']",Big Data Analysis Program,[]
B00007,Cloud Computing Guru,IBM,Cloud Computing Guru badge issued by IBM,Completion of 40 hours of lectures and project submission,Academic Alignment,Eligible for Software Engineer roles,"['Data Analysis', 'Deep Learning', 'Python']",['UI/UX'],Big Data Analysis Program,[]
B00008,Cloud Computing Guru,Udacity,Cloud Computing Guru badge issued by Udacity,Completion of hands-on project and final evaluation,Academic Alignment,Eligible for Software Engineer roles,"['Cybersecurity', 'Python']","['Analytical Skills', 'Deep Learning', 'UI/UX']",Big Data Analysis Program,"['B03560', 'B05181']"
B00009,Python Certification,Udacity,Python Certification badge issued by Udacity,Completion of 40 hours of lectures and project submission,Professional Alignment,Eligible for Cloud Architect positions,"['UI/UX', 'Cybersecurity']","['Data Analysis', 'Cybersecurity', 'Analytical Skills']",Data Science Bootcamp,[]
B00010,AI Specialist,IBM,AI Specialist badge issued by IBM,Completion of hands-on project and final evaluation,Industry Standard Alignment,Eligible for Software Engineer roles,"['Cybersecurity', 'Data Analysis', 'Python']","['Data Analysis', 'Machine Learning']",Data Science Bootcamp,"['B01544', 'B06192']"
